City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,igarka,67.4667,86.5833,-12.17,100.0,94.0,7.05,RU,1700262366.0
31,anadyr,64.75,177.4833,-1.7,84.0,0.0,6.71,RU,1700262366.0
32,al qusayr,34.5091,36.5798,59.72,85.0,2.0,1.34,SY,1700262367.0
33,wailua homesteads,22.0669,-159.378,81.03,71.0,75.0,13.8,US,1700262367.0
34,tiksi,71.6872,128.8694,-24.9,100.0,63.0,6.17,RU,1700262367.0
35,lompoc,34.6391,-120.4579,66.34,84.0,100.0,13.8,US,1700262368.0
36,new norfolk,-42.7826,147.0587,62.1,69.0,100.0,2.57,AU,1700262368.0
37,salinopolis,-0.6136,-47.3561,81.28,79.0,29.0,12.06,BR,1700262214.0
38,roma,43.2128,-75.4557,56.73,91.0,100.0,4.61,US,1700262366.0
39,aconibe,1.2968,10.9369,68.56,99.0,100.0,2.33,GQ,1700262369.0
40,aswan,24.0934,32.907,72.7,40.0,0.0,5.75,EG,1700262369.0
41,zhangjiakou shi xuanhua qu,40.6103,115.0447,28.45,39.0,0.0,2.84,CN,1700262339.0
42,alice springs,-23.7,133.8833,71.15,88.0,26.0,8.05,AU,1700262370.0
43,papatowai,-46.5619,169.4708,58.41,47.0,89.0,7.31,NZ,1700262370.0
44,luganville,-15.5333,167.1667,82.63,75.0,43.0,8.39,VU,1700262371.0
45,grytviken,-54.2811,-36.5092,30.74,74.0,18.0,1.61,GS,1700262372.0
46,suzun,53.7841,82.3116,39.0,93.0,100.0,5.93,RU,1700262372.0
47,susuman,62.7833,148.1667,-21.75,99.0,75.0,0.34,RU,1700262373.0
48,kuraymah,18.55,31.85,73.49,32.0,88.0,9.8,SD,1700262373.0
49,happy valley-goose bay,53.3168,-60.3315,37.71,75.0,100.0,9.22,CA,1700262374.0
50,tweed heads,-28.1817,153.547,74.17,55.0,75.0,13.8,AU,1700262374.0
51,yunfu,22.9306,112.0373,52.02,69.0,13.0,2.59,CN,1700262375.0
52,ilulissat,69.2167,-51.1,26.62,50.0,40.0,23.02,GL,1700262375.0
53,tazacorte,28.629,-17.9293,76.15,28.0,0.0,8.01,ES,1700262376.0
54,boyolangu,-8.1181,111.8935,76.73,84.0,44.0,1.99,ID,1700262376.0
55,ribeira grande,38.5167,-28.7,62.78,84.0,100.0,3.0,PT,1700262376.0
56,launceston,-41.45,147.1667,65.34,59.0,92.0,3.44,AU,1700262189.0
57,turpan,42.9333,89.1667,37.58,50.0,0.0,0.76,CN,1700262377.0
59,shahrak,34.1074,64.3052,40.82,68.0,100.0,6.51,AF,1700262378.0
60,bilibino,68.0546,166.4372,-4.27,90.0,100.0,1.79,RU,1700262378.0
61,onokhoy,51.932,108.0747,13.71,91.0,96.0,4.41,RU,1700262379.0
62,constantia,44.1833,28.65,52.7,82.0,100.0,10.83,RO,1700262379.0
63,yellowknife,62.456,-114.3525,19.92,86.0,100.0,8.05,CA,1700262302.0
64,shilin,24.8188,103.3324,46.47,69.0,100.0,3.06,CN,1700262380.0
66,caleta de carquin,-11.0925,-77.6267,68.16,83.0,80.0,11.32,PE,1700262380.0
67,twante,16.7167,95.9333,78.93,81.0,75.0,7.07,MM,1700262380.0
68,ushuaia,-54.8,-68.3,44.22,87.0,100.0,14.97,AR,1700262381.0
69,whitehorse,60.7161,-135.0538,31.1,68.0,20.0,10.36,CA,1700262381.0
70,invercargill,-46.4,168.35,62.02,52.0,92.0,14.0,NZ,1700262382.0
71,olonkinbyen,70.9221,-8.7187,27.5,75.0,99.0,1.97,SJ,1700262382.0
